"loadcel","timestamp","current_weight_history","remaining_sec_history"
"1","2025-07-10T16:24:21.610636+09:00","31.16286","10.99388"
"1","2025-07-10T16:24:22.454494+09:00","30.79677","10.89227"
"1","2025-07-10T16:24:23.995290+09:00","30.70983","10.91721"
"1","2025-07-10T16:24:24.761312+09:00","30.21104","10.76635"
"1","2025-07-10T16:24:25.513338+09:00","30.56797","10.92203"
"1","2025-07-10T16:24:27.054351+09:00","30.13782","10.82586"
"1","2025-07-10T16:24:27.816102+09:00","29.9319","10.78054"
"1","2025-07-10T16:24:29.363025+09:00","29.70309","10.75632"
"1","2025-07-10T16:24:30.118833+09:00","29.99139","10.89103"
"1","2025-07-10T16:24:30.904713+09:00","29.73971","10.83174"
"1","2025-07-10T16:24:32.413440+09:00","29.73513","10.89422"
"1","2025-07-10T16:24:33.195903+09:00","29.55209","10.86008"
"1","2025-07-10T16:24:34.697799+09:00","29.74886","10.99444"
"1","2025-07-10T16:24:35.452338+09:00","29.40108","10.8983"
"1","2025-07-10T16:24:36.248753+09:00","29.14939","10.83807"
"1","2025-07-10T16:24:37.763517+09:00","29.50175","11.03804"
"1","2025-07-10T16:24:38.505059+09:00","29.38735","11.03249"
"1","2025-07-10T16:24:40.029666+09:00","30.00054","11.34136"
"1","2025-07-10T16:24:40.774820+09:00","29.42853","11.16372"
"1","2025-07-10T16:24:41.528495+09:00","28.27537","10.75917"
"1","2025-07-10T16:24:43.029535+09:00","28.98466","11.10519"
"1","2025-07-10T16:24:43.808962+09:00","29.04415","11.16716"
"1","2025-07-10T16:24:45.327343+09:00","29.52463","11.435"
